genre,rank,img,name,publisher,device,rating

Puzzle,21,https://play-lh.googleusercontent.com/dBuSTyWiVpBorN1wVqeGt6ux7Mva1XW-aczgcoFI-pi4HcbJu8nFDrBRwl5b4_AdMnKo=w240-h480-rw,Where's My Water?,Disney,iOS,4.4
Casual,22,https://play-lh.googleusercontent.com/cb7FFnDCsn3mV-LNCAvixT4TLBupTsxdvTLotYZB2B8JzwsHDbxtJ1MZE851Pa6ubMQ=s480-rw,Homescapes,Playrix, iOS,4.4
Arcade,23,https://play-lh.googleusercontent.com/eJ9OJnbRer1jjg5ZeNAnTXKcGd2B_NEqxCp2UsefcCABeFBaj_pNl_WKYBjup2GVGGc=s480-rw,Fruit Ninja® Classic,Halfbrick Studios, iOS,4.3
Simulation,24,https://play-lh.googleusercontent.com/gThmN8Q8eFyHk8XfYd-RIs3xfBCJc4wHDcm4lHs3hi19vn2nBKH08L-_Nqf1S77dNWs=s480-rw,Farming Simulator 14,Giants Software,iOS,4.2
Puzzle,25,https://play-lh.googleusercontent.com/ek6mWT_YIiF2oU6AKxxLWiEuwWjuE8udGy6t_HxlMih4wnnRPgPlrO0PQrbmXgvBDWgE=s480-rw,Angry Birds Classic,Rovio Entertainment Corporation,Android,4.4
Casual,26,https://play-lh.googleusercontent.com/vjIOR6a_64Kbb1yazqkAVftF8P7zcBl3NIQ-cGvkodhCbl7zZJWNRQI2I9PL8vM95ssE=s480-rw,Cooking Fever,Nordcurrent,Android, 4.5
Arcade,27,https://play-lh.googleusercontent.com/ixHXzBWPmmKWIBxDMfjbIXK10UQCTDvIYOcs_uLXHCRbdsz2siJFYfb7MqckU8eC3Ks=s480-rw,Geometry Dash Lite,RobTop Games,Android, 4.5
Action,28,https://play-lh.googleusercontent.com/jkuObACPYtwEx719jlkH0GuaAVtTXPOhlqfxOF-sgXF_vVRdN3x820uCU0Yxvvwhr843=s480-rw,Sniper 3D: Fun Free Online FPS Shooting Game,Fun Games For Free,Android,4.5
Arcade,29,https://play-lh.googleusercontent.com/onlNBInQHIZtB2rY24BwrEsUUKwE753ao1BAvvhOw2ePEN1IHIUjaR3gvlGd3jyKTdg=s480-rw,Temple Run,Imangi Studios,Android,4.2
Action,30,https://play-lh.googleusercontent.com/67AtnAZEKOR_bm1MAYaapEyMFsKyLQzPMoyg6dmk-x8GzfmhEhcvDWSsHJLP_bkMAPE=s480-rw,War Robots Multiplayer Battles,Pixonic,Android, 4.3
Action,31,https://play-lh.googleusercontent.com/VhwlwQOnf_lUrhCUoTcKP8O1dMecYxOhpa1FimQryAIL723NjAhzz0GeH7RB70GKgQ=s480-rw,Shadow Fight 2,Nekki,Android,4.6
Arcade,32,https://play-lh.googleusercontent.com/UnBJS2kf5Dw6HyZXF9TvcRBTwIkcaT59mXX26juBUCwlqHZ8bKhZRtuRZ2q4YrT7iaE=w240-h480-rw,Jetpack Joyride,Halfbrick Studios,Android, 4.4
Role Playing,33,https://play-lh.googleusercontent.com/BVc7XiXYSGL5cMNVj__6CRaDvySrIgo9Gvlv-eKTI-i-58hrLRd6NqS0wQXhjPBVk5s=s480-rw,Dragon City,Socialpoint,Android, 4.5
Puzzle,34,https://play-lh.googleusercontent.com/gU9NKwpgLDYA6LIYK4dnkAkVyqNHUfTIqklEiNuO4oZ2OCpWQhQdqhnDh8Yb9B8SWIM=s480-rw,Candy Crush Saga,King,Android,4.6
Action,35,https://play-lh.googleusercontent.com/9F8Yup4O0--LddTf4mk56ybuaK-M89J18nDd-e5PLpX7r58GA3Klm5SNZPxvbKjuPhg=s480-rw,Gangstar Vegas - mafia game,Gameloft SE,Android, 4.3
Simulation,36,https://play-lh.googleusercontent.com/jdk2h_1cOzHaRT81fPlGMNmZR215bYta6RV2mzz1f7VzmBEI-1PswAO2ZDa_UsbTYQ=w240-h480-rw,Episode - Choose Your Story,Episode Interactive, iOS,4.3
Casual,37,https://play-lh.googleusercontent.com/bBcTnHOQz3yim_TVw-M21BDvUECT1fZWJHryApg5QXpBS6gw0YE6vjqkXw6wJdA7DIE=s480-rw,Gardenscapes,Playrix, iOS,4.4
Simulation,38,https://play-lh.googleusercontent.com/j4aA2u_cAuRbUDz1zKFnjRINZHKmJF1n-wDaeQ8IWsiDgYSMEt_ngSmknWg_UZaYQVV7=w240-h480-rw,My Talking Tom 2,Outfit7 Limited,iOS,4.5
Arcade,39,https://play-lh.googleusercontent.com/N0UxhBVUmx8s7y3F7Kqre2AcpXyPDKAp8nHjiPPoOONc_sfugHCYMjBpbUKCMlK_XUs=w240-h480-rw,Hill Climb Racing,Fingersoft, iOS,4.4
Simulation,40,https://play-lh.googleusercontent.com/odT8X2MN0yyspLCjV6pFqhB-l8CSHvE8mn0ROuhOPgBpKdp7v7sMvyr2fE3ma4Qakg=s480-rw,Bus Simulator : Indonesia,Maleo Games,iOS,4.3
